,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.17,0.134,0.132,0.129,0.13,0.139
#Streams: 2,0.171,0.167,0.149,0.163,0.142,0.158
#Streams: 3,0.158,0.156,0.157,0.166,0.148,0.157
#Streams: 4,0.136,0.134,0.17,0.164,0.153,0.151
#Streams: 5,0.141,0.16,0.149,0.158,0.168,0.155
#Streams: 6,0.149,0.173,0.167,0.159,0.158,0.161
#Streams: 7,0.157,0.155,0.158,0.155,0.153,0.156
#Streams: 8,0.154,0.156,0.156,0.154,0.154,0.155
#Streams: 9,0.156,0.156,0.154,0.153,0.153,0.154
#Streams: 10,0.154,0.156,0.156,0.155,0.157,0.156
