,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.169,0.177,0.181,0.192,0.209,0.186
#Streams: 2,0.18,0.173,0.19,0.185,0.181,0.182
#Streams: 3,0.194,0.184,0.172,0.18,0.202,0.186
#Streams: 4,0.184,0.171,0.164,0.199,0.203,0.184
#Streams: 5,0.172,0.191,0.183,0.176,0.219,0.188
#Streams: 6,0.194,0.164,0.223,0.179,0.203,0.193
#Streams: 7,0.177,0.186,0.168,0.181,0.217,0.186
#Streams: 8,0.222,0.185,0.21,0.199,0.184,0.2
#Streams: 9,0.201,0.198,0.169,0.169,0.177,0.183
#Streams: 10,0.183,0.187,0.184,0.185,0.182,0.184
