,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.302,0.283,0.363,0.298,0.323,0.314
#Streams: 2,0.56,0.517,0.5,0.505,0.476,0.512
#Streams: 3,0.682,0.658,0.662,0.664,0.659,0.665
#Streams: 4,0.86,0.875,0.885,0.847,0.918,0.877
#Streams: 5,1.049,1.107,1.086,1.113,1.129,1.097
#Streams: 6,1.428,1.443,1.523,1.309,1.315,1.404
#Streams: 7,1.501,1.629,1.617,1.572,1.483,1.56
#Streams: 8,1.728,1.69,1.736,1.698,1.692,1.709
#Streams: 9,1.939,1.933,1.928,1.937,1.9,1.927
#Streams: 10,2.135,2.113,2.326,2.131,2.179,2.177
