,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.2,0.168,0.171,0.188,0.173,0.18
#Streams: 2,0.243,0.219,0.236,0.212,0.203,0.223
#Streams: 3,0.247,0.226,0.243,0.212,0.211,0.228
#Streams: 4,0.261,0.253,0.224,0.225,0.276,0.248
#Streams: 5,0.252,0.29,0.246,0.269,0.272,0.266
#Streams: 6,0.272,0.277,0.287,0.273,0.323,0.286
#Streams: 7,0.287,0.284,0.278,0.309,0.285,0.289
#Streams: 8,0.309,0.295,0.302,0.316,0.292,0.303
#Streams: 9,0.321,0.322,0.32,0.315,0.316,0.319
#Streams: 10,0.343,0.335,0.337,0.339,0.364,0.344
