,1st,2nd,3rd,4th,5th,avg
#Streams: 1,2.515,2.509,2.518,2.549,2.553,2.529
#Streams: 2,4.842,4.853,4.883,4.821,4.937,4.867
#Streams: 3,7.442,7.481,7.356,7.204,7.419,7.38
#Streams: 4,9.564,9.601,10.044,9.632,9.763,9.721
#Streams: 5,12.114,12.334,11.867,12.217,12.12,12.13
#Streams: 6,14.523,14.366,14.842,14.38,14.858,14.594
#Streams: 7,16.849,17.238,16.625,17.399,16.858,16.994
#Streams: 8,18.997,20.747,18.964,19.076,19.839,19.525
#Streams: 9,21.524,21.965,22.643,22.2,21.384,21.943
#Streams: 10,23.855,23.991,24.582,24.042,23.866,24.067
