,1st,2nd,3rd,4th,5th,avg
#Streams: 1,2.493,2.655,2.505,2.5,2.493,2.529
#Streams: 2,4.905,4.86,4.914,4.872,4.965,4.903
#Streams: 3,7.208,7.324,7.556,9.131,7.282,7.7
#Streams: 4,9.692,9.722,9.597,9.738,10.452,9.84
#Streams: 5,12.037,12.069,12.553,11.9,12.125,12.137
#Streams: 6,14.609,14.433,14.656,14.495,14.485,14.536
#Streams: 7,17.103,16.7,17.135,16.734,17.551,17.045
#Streams: 8,19.677,19.285,19.27,19.01,20.016,19.452
#Streams: 9,21.767,21.454,21.499,22.339,21.891,21.79
#Streams: 10,27.301,23.943,24.193,26.512,25.011,25.392
