,2,4_100,4_1000,4_10000,4_100000
#Streams: 1,0.139,0.18,0.163,0.14800000000000002,0.147
#Streams: 2,0.158,0.16399999999999998,0.159,0.15,0.163
#Streams: 3,0.157,0.158,0.147,0.153,0.14300000000000002
#Streams: 4,0.151,0.16,0.139,0.159,0.136
#Streams: 5,0.155,0.16899999999999998,0.14300000000000002,0.142,0.136
#Streams: 6,0.161,0.16399999999999998,0.157,0.146,0.161
#Streams: 7,0.156,0.187,0.149,0.14,0.163
#Streams: 8,0.155,0.175,0.147,0.16,0.163
#Streams: 9,0.154,0.177,0.159,0.14800000000000002,0.163
#Streams: 10,0.156,0.18100000000000002,0.157,0.14400000000000002,0.17
