,2,4_100,4_1000,4_10000,4_100000
#Streams: 1,0.314,2.481,0.446,0.235,0.183
#Streams: 2,0.512,12.685,0.6609999999999999,0.257,0.207
#Streams: 3,0.665,7.587000000000001,0.937,0.316,0.222
#Streams: 4,0.877,10.975999999999999,1.2309999999999999,0.405,0.245
#Streams: 5,1.097,14.225,1.4780000000000002,0.44299999999999995,0.28800000000000003
#Streams: 6,1.4040000000000001,15.402999999999999,1.758,0.479,0.392
#Streams: 7,1.56,17.675,1.912,0.575,0.396
#Streams: 8,1.709,20.646,2.609,0.609,0.387
#Streams: 9,1.9269999999999998,22.369,3.323,0.6509999999999999,0.45
#Streams: 10,2.177,24.147,2.923,0.695,0.45899999999999996
