,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.148,0.159,0.165,0.167,0.16,0.16
#Streams: 2,0.171,0.164,0.177,0.168,0.169,0.17
#Streams: 3,0.18,0.172,0.164,0.158,0.171,0.169
#Streams: 4,0.159,0.171,0.158,0.156,0.191,0.167
#Streams: 5,0.156,0.157,0.176,0.162,0.173,0.165
#Streams: 6,0.185,0.182,0.178,0.182,0.183,0.182
#Streams: 7,0.191,0.171,0.177,0.169,0.184,0.178
#Streams: 8,0.187,0.189,0.192,0.192,0.187,0.189
#Streams: 9,0.174,0.173,0.173,0.191,0.173,0.177
#Streams: 10,0.181,0.184,0.186,0.179,0.189,0.184
