,1st,2nd,3rd,4th,5th,avg
#Streams: 1,20.794,21.82,20.926,22.275,22.091,21.581
#Streams: 2,60.132,62.545,61.642,60.869,56.213,60.28
#Streams: 3,90.934,89.484,92.203,87.558,86.389,89.314
#Streams: 4,119.247,121.004,123.957,119.033,121.307,120.91
#Streams: 5,165.082,145.228,152.671,146.707,150.287,151.995
#Streams: 6,172.106,174.141,176.52,189.803,194.372,181.388
#Streams: 7,238.079,227.418,227.201,223.593,210.862,225.431
#Streams: 8,257.032,244.4,269.95,262.768,259.406,258.711
#Streams: 9,290.361,282.535,277.638,289.549,282.415,284.5
#Streams: 10,302.521,304.053,309.332,317.883,301.231,307.004
