,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.154,0.192,0.173,0.154,0.141,0.163
#Streams: 2,0.193,0.163,0.141,0.151,0.145,0.159
#Streams: 3,0.146,0.146,0.149,0.15,0.142,0.147
#Streams: 4,0.14,0.14,0.137,0.138,0.14,0.139
#Streams: 5,0.141,0.145,0.145,0.141,0.141,0.143
#Streams: 6,0.161,0.164,0.152,0.16,0.147,0.157
#Streams: 7,0.143,0.145,0.155,0.157,0.146,0.149
#Streams: 8,0.147,0.15,0.147,0.146,0.147,0.147
#Streams: 9,0.162,0.157,0.16,0.159,0.157,0.159
#Streams: 10,0.157,0.162,0.146,0.158,0.163,0.157
